Period;CCAA;Total
2020-09-01;05 Canarias;92548.0
2020-09-01;13 Madrid, Comunidad de;48085.0
2020-09-01;10 Comunitat Valenciana;185154.0
2020-09-01;09 Cataluña;275206.0
2020-09-01;04 Balears, Illes;119145.0
2020-09-01;01 Andalucía;179190.0
2020-09-01;Total;1138868.0
2020-09-01;Otras Comunidades Autónomas;239540.0
2020-10-01;09 Cataluña;231004.0
2020-10-01;04 Balears, Illes;84194.0
2020-10-01;10 Comunitat Valenciana;177332.0
2020-10-01;Otras Comunidades Autónomas;208085.0
2020-10-01;13 Madrid, Comunidad de;39638.0
2020-10-01;01 Andalucía;143610.0
2020-10-01;05 Canarias;136911.0
2020-10-01;Total;1020773.0
2020-11-01;09 Cataluña;58838.0
2020-11-01;10 Comunitat Valenciana;53870.0
2020-11-01;Otras Comunidades Autónomas;68811.0
2020-11-01;05 Canarias;160665.0
2020-11-01;13 Madrid, Comunidad de;45352.0
2020-11-01;01 Andalucía;49175.0
2020-11-01;04 Balears, Illes;20103.0
2020-11-01;Total;456814.0
2020-12-01;Otras Comunidades Autónomas;141951.0
2020-12-01;04 Balears, Illes;22099.0
2020-12-01;Total;648989.0
2020-12-01;10 Comunitat Valenciana;71873.0
2020-12-01;09 Cataluña;97489.0
2020-12-01;13 Madrid, Comunidad de;47914.0
2020-12-01;01 Andalucía;60600.0
2020-12-01;05 Canarias;207064.0
2021-01-01;05 Canarias;86579.0
2021-01-01;Total;437973.0
2021-01-01;10 Comunitat Valenciana;49970.0
2021-01-01;Otras Comunidades Autónomas;105428.0
2021-01-01;13 Madrid, Comunidad de;45585.0
2021-01-01;04 Balears, Illes;15182.0
2021-01-01;01 Andalucía;49789.0
2021-01-01;09 Cataluña;85440.0
2021-02-01;05 Canarias;74280.0
2021-02-01;Otras Comunidades Autónomas;54694.0
2021-02-01;04 Balears, Illes;13190.0
2021-02-01;10 Comunitat Valenciana;28152.0
2021-02-01;13 Madrid, Comunidad de;31596.0
2021-02-01;01 Andalucía;28715.0
2021-02-01;09 Cataluña;54348.0
2021-02-01;Total;284974.0
2021-03-01;04 Balears, Illes;65660.0
2021-03-01;10 Comunitat Valenciana;46945.0
2021-03-01;Otras Comunidades Autónomas;72301.0
2021-03-01;Total;491427.0
2021-03-01;13 Madrid, Comunidad de;69319.0
2021-03-01;05 Canarias;100525.0
2021-03-01;01 Andalucía;51049.0
2021-03-01;09 Cataluña;85627.0
2021-04-01;Total;629206.0
2021-04-01;13 Madrid, Comunidad de;65324.0
2021-04-01;Otras Comunidades Autónomas;81785.0
2021-04-01;05 Canarias;109429.0
2021-04-01;10 Comunitat Valenciana;71493.0
2021-04-01;04 Balears, Illes;124634.0
2021-04-01;01 Andalucía;83006.0
2021-04-01;09 Cataluña;93535.0
2021-05-01;09 Cataluña;251155.0
2021-05-01;Total;1363164.0
2021-05-01;Otras Comunidades Autónomas;175317.0
2021-05-01;13 Madrid, Comunidad de;86696.0
2021-05-01;10 Comunitat Valenciana;141587.0
2021-05-01;01 Andalucía;166171.0
2021-05-01;05 Canarias;161380.0
2021-05-01;04 Balears, Illes;380859.0
2021-06-01;04 Balears, Illes;656091.0
2021-06-01;09 Cataluña;404336.0
2021-06-01;Total;2216356.0
2021-06-01;10 Comunitat Valenciana;271231.0
2021-06-01;01 Andalucía;296125.0
2021-06-01;Otras Comunidades Autónomas;228145.0
2021-06-01;05 Canarias;221337.0
2021-06-01;13 Madrid, Comunidad de;139091.0
2021-07-01;01 Andalucía;555120.0
2021-07-01;09 Cataluña;815654.0
2021-07-01;05 Canarias;414241.0
2021-07-01;13 Madrid, Comunidad de;219112.0
2021-07-01;Total;4398992.0
2021-07-01;10 Comunitat Valenciana;607165.0
2021-07-01;04 Balears, Illes;1320144.0
2021-07-01;Otras Comunidades Autónomas;467556.0
2021-08-01;Total;5196520.0
2021-08-01;10 Comunitat Valenciana;754050.0
2021-08-01;01 Andalucía;699075.0
2021-08-01;05 Canarias;569209.0
2021-08-01;Otras Comunidades Autónomas;558972.0
2021-08-01;04 Balears, Illes;1307442.0
2021-08-01;09 Cataluña;1076756.0
2021-08-01;13 Madrid, Comunidad de;231016.0
2021-09-01;05 Canarias;611246.0
2021-09-01;Otras Comunidades Autónomas;459367.0
2021-09-01;09 Cataluña;877825.0
2021-09-01;04 Balears, Illes;1167722.0
2021-09-01;01 Andalucía;687624.0
2021-09-01;10 Comunitat Valenciana;641919.0
2021-09-01;Total;4703933.0
2021-09-01;13 Madrid, Comunidad de;258228.0
2021-10-01;01 Andalucía;813081.0
2021-10-01;Otras Comunidades Autónomas;457681.0
2021-10-01;Total;5148820.0
2021-10-01;13 Madrid, Comunidad de;362704.0
2021-10-01;10 Comunitat Valenciana;641582.0
2021-10-01;04 Balears, Illes;1010761.0
2021-10-01;05 Canarias;994249.0
2021-10-01;09 Cataluña;868763.0
2021-11-01;Otras Comunidades Autónomas;337991.0
2021-11-01;10 Comunitat Valenciana;384253.0
2021-11-01;05 Canarias;1013292.0
2021-11-01;Total;3361913.0
2021-11-01;04 Balears, Illes;148414.0
2021-11-01;13 Madrid, Comunidad de;375608.0
2021-11-01;01 Andalucía;486298.0
2021-11-01;09 Cataluña;616059.0
2021-12-01;04 Balears, Illes;114613.0
2021-12-01;10 Comunitat Valenciana;381422.0
2021-12-01;13 Madrid, Comunidad de;292788.0
2021-12-01;Otras Comunidades Autónomas;365114.0
2021-12-01;05 Canarias;902963.0
2021-12-01;Total;2947525.0
2021-12-01;09 Cataluña;558338.0
2021-12-01;01 Andalucía;332287.0
2022-01-01;Otras Comunidades Autónomas;341019.0
2022-01-01;09 Cataluña;465172.0
2022-01-01;05 Canarias;759766.0
2022-01-01;04 Balears, Illes;83167.0
2022-01-01;Total;2501443.0
2022-01-01;01 Andalucía;323469.0
2022-01-01;10 Comunitat Valenciana;280868.0
2022-01-01;13 Madrid, Comunidad de;247982.0
2022-02-01;04 Balears, Illes;149643.0
2022-02-01;13 Madrid, Comunidad de;282914.0
2022-02-01;10 Comunitat Valenciana;393393.0
2022-02-01;05 Canarias;967892.0
2022-02-01;Total;3179288.0
2022-02-01;Otras Comunidades Autónomas;341284.0
2022-02-01;09 Cataluña;619075.0
2022-02-01;01 Andalucía;425087.0
2022-03-01;01 Andalucía;609932.0
2022-03-01;Total;4039532.0
2022-03-01;13 Madrid, Comunidad de;447532.0
2022-03-01;Otras Comunidades Autónomas;351414.0
2022-03-01;04 Balears, Illes;306983.0
2022-03-01;05 Canarias;1123309.0
2022-03-01;10 Comunitat Valenciana;491399.0
2022-03-01;09 Cataluña;708963.0
2022-04-01;09 Cataluña;1156887.0
2022-04-01;10 Comunitat Valenciana;785176.0
2022-04-01;01 Andalucía;908068.0
2022-04-01;04 Balears, Illes;1070244.0
2022-04-01;Otras Comunidades Autónomas;529446.0
2022-04-01;05 Canarias;1110116.0
2022-04-01;13 Madrid, Comunidad de;546380.0
2022-04-01;Total;6106316.0
2022-05-01;10 Comunitat Valenciana;793403.0
2022-05-01;13 Madrid, Comunidad de;571014.0
2022-05-01;09 Cataluña;1474935.0
2022-05-01;01 Andalucía;1040000.0
2022-05-01;05 Canarias;883555.0
2022-05-01;Otras Comunidades Autónomas;594835.0
2022-05-01;04 Balears, Illes;1630611.0
2022-05-01;Total;6988353.0
2022-06-01;13 Madrid, Comunidad de;605892.0
2022-06-01;09 Cataluña;1631067.0
2022-06-01;Total;7498156.0
2022-06-01;10 Comunitat Valenciana;850991.0
2022-06-01;Otras Comunidades Autónomas;541200.0
2022-06-01;01 Andalucía;1009682.0
2022-06-01;04 Balears, Illes;1958641.0
2022-06-01;05 Canarias;900683.0
2022-07-01;Total;9091390.0
2022-07-01;05 Canarias;1028968.0
2022-07-01;Otras Comunidades Autónomas;917266.0
2022-07-01;01 Andalucía;1122579.0
2022-07-01;10 Comunitat Valenciana;1126932.0
2022-07-01;13 Madrid, Comunidad de;626638.0
2022-07-01;09 Cataluña;1995729.0
2022-07-01;04 Balears, Illes;2273277.0
2022-08-01;05 Canarias;1035403.0
2022-08-01;13 Madrid, Comunidad de;447380.0
2022-08-01;01 Andalucía;1295900.0
2022-08-01;Total;8848665.0
2022-08-01;Otras Comunidades Autónomas;924577.0
2022-08-01;09 Cataluña;1901752.0
2022-08-01;10 Comunitat Valenciana;1057976.0
2022-08-01;04 Balears, Illes;2185677.0
2022-09-01;05 Canarias;928846.0
2022-09-01;09 Cataluña;1642389.0
2022-09-01;Total;7767211.0
2022-09-01;10 Comunitat Valenciana;937745.0
2022-09-01;Otras Comunidades Autónomas;657741.0
2022-09-01;01 Andalucía;1101005.0
2022-09-01;04 Balears, Illes;1897022.0
2022-09-01;13 Madrid, Comunidad de;602463.0
2022-10-01;Otras Comunidades Autónomas;552788.0
2022-10-01;01 Andalucía;1048112.0
2022-10-01;09 Cataluña;1484838.0
2022-10-01;04 Balears, Illes;1352418.0
2022-10-01;05 Canarias;1184526.0
2022-10-01;Total;7176984.0
2022-10-01;13 Madrid, Comunidad de;688660.0
2022-10-01;10 Comunitat Valenciana;865642.0
2022-11-01;13 Madrid, Comunidad de;540723.0
2022-11-01;Total;4334651.0
2022-11-01;04 Balears, Illes;165387.0
2022-11-01;09 Cataluña;957123.0
2022-11-01;05 Canarias;1185300.0
2022-11-01;Otras Comunidades Autónomas;374930.0
2022-11-01;01 Andalucía;592129.0
2022-11-01;10 Comunitat Valenciana;519058.0
2022-12-01;Otras Comunidades Autónomas;474324.0
2022-12-01;09 Cataluña;814112.0
2022-12-01;Total;4127293.0
2022-12-01;13 Madrid, Comunidad de;440604.0
2022-12-01;01 Andalucía;533927.0
2022-12-01;05 Canarias;1219648.0
2022-12-01;04 Balears, Illes;130814.0
2022-12-01;10 Comunitat Valenciana;513864.0
2023-01-01;01 Andalucía;567627.0
2023-01-01;10 Comunitat Valenciana;480171.0
2023-01-01;Otras Comunidades Autónomas;434160.0
2023-01-01;13 Madrid, Comunidad de;518799.0
2023-01-01;05 Canarias;1209285.0
2023-01-01;Total;4134995.0
2023-01-01;04 Balears, Illes;127802.0
2023-01-01;09 Cataluña;797150.0
2023-02-01;01 Andalucía;612045.0
2023-02-01;10 Comunitat Valenciana;481913.0
2023-02-01;09 Cataluña;930178.0
2023-02-01;Otras Comunidades Autónomas;430494.0
2023-02-01;Total;4320665.0
2023-02-01;13 Madrid, Comunidad de;453650.0
2023-02-01;04 Balears, Illes;181701.0
2023-02-01;05 Canarias;1230683.0
2023-03-01;Otras Comunidades Autónomas;479699.0
2023-03-01;Total;5247341.0
2023-03-01;05 Canarias;1297460.0
2023-03-01;09 Cataluña;1052638.0
2023-03-01;13 Madrid, Comunidad de;594544.0
2023-03-01;10 Comunitat Valenciana;660566.0
2023-03-01;01 Andalucía;801619.0
2023-03-01;04 Balears, Illes;360815.0
2023-04-01;10 Comunitat Valenciana;866776.0
2023-04-01;Otras Comunidades Autónomas;657610.0
2023-04-01;13 Madrid, Comunidad de;666477.0
2023-04-01;Total;7228094.0
2023-04-01;04 Balears, Illes;1182890.0
2023-04-01;05 Canarias;1160224.0
2023-04-01;01 Andalucía;1152846.0
2023-04-01;09 Cataluña;1541270.0
2023-05-01;13 Madrid, Comunidad de;706226.0
2023-05-01;10 Comunitat Valenciana;1001303.0
2023-05-01;Otras Comunidades Autónomas;691250.0
2023-05-01;Total;8300384.0
2023-05-01;01 Andalucía;1210100.0
2023-05-01;09 Cataluña;1924278.0
2023-05-01;04 Balears, Illes;1797943.0
2023-05-01;05 Canarias;969285.0
2023-06-01;13 Madrid, Comunidad de;745111.0
2023-06-01;01 Andalucía;1156269.0
2023-06-01;04 Balears, Illes;2059265.0
2023-06-01;Total;8307460.0
2023-06-01;10 Comunitat Valenciana;937202.0
2023-06-01;05 Canarias;947828.0
2023-06-01;Otras Comunidades Autónomas;642077.0
2023-06-01;09 Cataluña;1819708.0
2023-07-01;05 Canarias;1070553.0
2023-07-01;10 Comunitat Valenciana;1332110.0
2023-07-01;09 Cataluña;2309021.0
2023-07-01;01 Andalucía;1344993.0
2023-07-01;13 Madrid, Comunidad de;664448.0
2023-07-01;04 Balears, Illes;2437374.0
2023-07-01;Otras Comunidades Autónomas;958417.0
2023-07-01;Total;10116916.0
2023-08-01;01 Andalucía;1466334.0
2023-08-01;09 Cataluña;2154210.0
2023-08-01;Otras Comunidades Autónomas;1245521.0
2023-08-01;10 Comunitat Valenciana;1272665.0
2023-08-01;04 Balears, Illes;2359442.0
2023-08-01;05 Canarias;1062818.0
2023-08-01;Total;10186163.0
2023-08-01;13 Madrid, Comunidad de;625174.0
2023-09-01;01 Andalucía;1300924.0
2023-09-01;Total;8795425.0
2023-09-01;04 Balears, Illes;2061298.0
2023-09-01;05 Canarias;1026257.0
2023-09-01;13 Madrid, Comunidad de;769335.0
2023-09-01;10 Comunitat Valenciana;1042340.0
2023-09-01;Otras Comunidades Autónomas;776602.0
2023-09-01;09 Cataluña;1818670.0
2023-10-01;Total;8187022.0
2023-10-01;13 Madrid, Comunidad de;822942.0
2023-10-01;09 Cataluña;1669786.0
2023-10-01;01 Andalucía;1237399.0
2023-10-01;10 Comunitat Valenciana;1033167.0
2023-10-01;05 Canarias;1269415.0
2023-10-01;Otras Comunidades Autónomas;677660.0
2023-10-01;04 Balears, Illes;1476654.0
2023-11-01;01 Andalucía;715475.0
2023-11-01;09 Cataluña;1145608.0
2023-11-01;13 Madrid, Comunidad de;673552.0
2023-11-01;Total;5135498.0
2023-11-01;10 Comunitat Valenciana;653407.0
2023-11-01;04 Balears, Illes;213740.0
2023-11-01;Otras Comunidades Autónomas;400949.0
2023-11-01;05 Canarias;1332768.0
2023-12-01;Total;5209085.0
2023-12-01;05 Canarias;1374111.0
2023-12-01;13 Madrid, Comunidad de;605809.0
2023-12-01;10 Comunitat Valenciana;712546.0
2023-12-01;Otras Comunidades Autónomas;706000.0
2023-12-01;04 Balears, Illes;165588.0
2023-12-01;09 Cataluña;1020095.0
2023-12-01;01 Andalucía;624935.0
2024-01-01;Total;4775549.0
2024-01-01;05 Canarias;1321043.0
2024-01-01;Otras Comunidades Autónomas;465290.0
2024-01-01;09 Cataluña;957854.0
2024-01-01;10 Comunitat Valenciana;616365.0
2024-01-01;04 Balears, Illes;139177.0
2024-01-01;01 Andalucía;667158.0
2024-01-01;13 Madrid, Comunidad de;608661.0
2024-02-01;10 Comunitat Valenciana;582504.0
2024-02-01;Total;5013497.0
2024-02-01;09 Cataluña;1054228.0
2024-02-01;05 Canarias;1407939.0
2024-02-01;Otras Comunidades Autónomas;444012.0
2024-02-01;04 Balears, Illes;214433.0
2024-02-01;01 Andalucía;725589.0
2024-02-01;13 Madrid, Comunidad de;584792.0
2024-03-01;05 Canarias;1543223.0
2024-03-01;13 Madrid, Comunidad de;712222.0
2024-03-01;10 Comunitat Valenciana;824971.0
2024-03-01;01 Andalucía;957364.0
2024-03-01;09 Cataluña;1356213.0
2024-03-01;Total;6350471.0
2024-03-01;04 Balears, Illes;428191.0
2024-03-01;Otras Comunidades Autónomas;528286.0
2024-04-01;Otras Comunidades Autónomas;699093.0
2024-04-01;13 Madrid, Comunidad de;813678.0
2024-04-01;09 Cataluña;1684885.0
2024-04-01;04 Balears, Illes;1196361.0
2024-04-01;01 Andalucía;1202569.0
2024-04-01;Total;7783750.0
2024-04-01;10 Comunitat Valenciana;1003867.0
2024-04-01;05 Canarias;1183297.0
2024-05-01;09 Cataluña;2042935.0
2024-05-01;10 Comunitat Valenciana;1150006.0
2024-05-01;05 Canarias;1037648.0
2024-05-01;Otras Comunidades Autónomas;804979.0
2024-05-01;01 Andalucía;1343669.0
2024-05-01;04 Balears, Illes;1997409.0
2024-05-01;13 Madrid, Comunidad de;879339.0
2024-05-01;Total;9255985.0
2024-06-01;04 Balears, Illes;2196345.0
2024-06-01;Total;9299574.0
2024-06-01;09 Cataluña;1996785.0
2024-06-01;10 Comunitat Valenciana;1117852.0
2024-06-01;01 Andalucía;1364955.0
2024-06-01;05 Canarias;1045475.0
2024-06-01;13 Madrid, Comunidad de;843657.0
2024-06-01;Otras Comunidades Autónomas;734505.0
2024-07-01;01 Andalucía;1460088.0
2024-07-01;09 Cataluña;2379950.0
2024-07-01;Total;10852347.0
2024-07-01;04 Balears, Illes;2541123.0
2024-07-01;Otras Comunidades Autónomas;1093568.0
2024-07-01;13 Madrid, Comunidad de;742294.0
2024-07-01;05 Canarias;1161204.0
2024-07-01;10 Comunitat Valenciana;1474120.0
2024-08-01;13 Madrid, Comunidad de;638979.0
2024-08-01;09 Cataluña;2286485.0
2024-08-01;Total;10929584.0
2024-08-01;04 Balears, Illes;2446450.0
2024-08-01;10 Comunitat Valenciana;1469110.0
2024-08-01;Otras Comunidades Autónomas;1324991.0
2024-08-01;05 Canarias;1165537.0
2024-08-01;01 Andalucía;1598032.0
2024-09-01;09 Cataluña;2047809.0
2024-09-01;10 Comunitat Valenciana;1194994.0
2024-09-01;05 Canarias;1105772.0
2024-09-01;Otras Comunidades Autónomas;857614.0
2024-09-01;04 Balears, Illes;2147736.0
2024-09-01;13 Madrid, Comunidad de;817484.0
2024-09-01;01 Andalucía;1430607.0
2024-09-01;Total;9602015.0
2024-10-01;Otras Comunidades Autónomas;836938.0
2024-10-01;Total;8961932.0
2024-10-01;09 Cataluña;1801752.0
2024-10-01;04 Balears, Illes;1599653.0
2024-10-01;01 Andalucía;1365799.0
2024-10-01;13 Madrid, Comunidad de;863874.0
2024-10-01;05 Canarias;1359785.0
2024-10-01;10 Comunitat Valenciana;1134131.0
2024-11-01;Total;5670219.0
2024-11-01;05 Canarias;1448423.0
2024-11-01;04 Balears, Illes;219596.0
2024-11-01;10 Comunitat Valenciana;680112.0
2024-11-01;Otras Comunidades Autónomas;564394.0
2024-11-01;13 Madrid, Comunidad de;718290.0
2024-11-01;01 Andalucía;776920.0
2024-11-01;09 Cataluña;1262483.0
2024-12-01;05 Canarias;1448495.0
2024-12-01;09 Cataluña;1068838.0
2024-12-01;10 Comunitat Valenciana;666938.0
2024-12-01;Otras Comunidades Autónomas;618244.0
2024-12-01;04 Balears, Illes;179838.0
2024-12-01;01 Andalucía;680492.0
2024-12-01;13 Madrid, Comunidad de;601530.0
2024-12-01;Total;5264375.0
2025-01-01;Otras Comunidades Autónomas;482841.0
2025-01-01;01 Andalucía;692719.0
2025-01-01;09 Cataluña;1076814.0
2025-01-01;13 Madrid, Comunidad de;704362.0
2025-01-01;10 Comunitat Valenciana;600146.0
2025-01-01;04 Balears, Illes;147620.0
2025-01-01;05 Canarias;1360592.0
2025-01-01;Total;5065094.0
2025-02-01;13 Madrid, Comunidad de;643607.0
2025-02-01;04 Balears, Illes;238198.0
2025-02-01;10 Comunitat Valenciana;670770.0
2025-02-01;09 Cataluña;1136575.0
2025-02-01;Total;5397279.0
2025-02-01;Otras Comunidades Autónomas;487969.0
2025-02-01;05 Canarias;1444472.0
2025-02-01;01 Andalucía;775687.0
2025-03-01;09 Cataluña;1370270.0
2025-03-01;05 Canarias;1556532.0
2025-03-01;Otras Comunidades Autónomas;609387.0
2025-03-01;01 Andalucía;1055017.0
2025-03-01;13 Madrid, Comunidad de;721110.0
2025-03-01;Total;6593604.0
2025-03-01;04 Balears, Illes;424227.0
2025-03-01;10 Comunitat Valenciana;857060.0
2025-04-01;09 Cataluña;1739724.0
2025-04-01;10 Comunitat Valenciana;1116176.0
2025-04-01;Otras Comunidades Autónomas;804687.0
2025-04-01;04 Balears, Illes;1357216.0
2025-04-01;13 Madrid, Comunidad de;838038.0
2025-04-01;01 Andalucía;1388579.0
2025-04-01;05 Canarias;1323722.0
2025-04-01;Total;8568142.0
2025-05-01;04 Balears, Illes;1994191.0
2025-05-01;05 Canarias;1076379.0
2025-05-01;01 Andalucía;1451974.0
2025-05-01;09 Cataluña;1929494.0
2025-05-01;10 Comunitat Valenciana;1197429.0
2025-05-01;13 Madrid, Comunidad de;880963.0
2025-05-01;Total;9395612.0
2025-05-01;Otras Comunidades Autónomas;865181.0
2025-06-01;10 Comunitat Valenciana;1154844.0
2025-06-01;05 Canarias;1078407.0
2025-06-01;13 Madrid, Comunidad de;777453.0
2025-06-01;04 Balears, Illes;2262589.0
2025-06-01;Otras Comunidades Autónomas;778733.0
2025-06-01;01 Andalucía;1425522.0
2025-06-01;09 Cataluña;1998700.0
2025-06-01;Total;9476248.0
