Tipo de dato;Comunidades autónomas;Periodo;Total
Dato base;Total;2025M06;9.476.248
Dato base;Total;2025M05;9.395.612
Dato base;Total;2025M04;8.568.142
Dato base;Total;2025M03;6.593.604
Dato base;Total;2025M02;5.397.279
Dato base;Total;2025M01;5.065.094
Dato base;Total;2024M12;5.264.375
Dato base;Total;2024M11;5.670.219
Dato base;Total;2024M10;8.961.932
Dato base;Total;2024M09;9.602.015
Dato base;Total;2024M08;10.929.584
Dato base;Total;2024M07;10.852.347
Dato base;Total;2024M06;9.299.574
Dato base;Total;2024M05;9.255.985
Dato base;Total;2024M04;7.783.750
Dato base;Total;2024M03;6.350.471
Dato base;Total;2024M02;5.013.497
Dato base;Total;2024M01;4.775.549
Dato base;Total;2023M12;5.209.085
Dato base;Total;2023M11;5.135.498
Dato base;Total;2023M10;8.187.022
Dato base;Total;2023M09;8.795.425
Dato base;Total;2023M08;10.186.163
Dato base;Total;2023M07;10.116.916
Dato base;Total;2023M06;8.307.460
Dato base;Total;2023M05;8.300.384
Dato base;Total;2023M04;7.228.094
Dato base;Total;2023M03;5.247.341
Dato base;Total;2023M02;4.320.665
Dato base;Total;2023M01;4.134.995
Dato base;Total;2022M12;4.127.293
Dato base;Total;2022M11;4.334.651
Dato base;Total;2022M10;7.176.984
Dato base;Total;2022M09;7.767.211
Dato base;Total;2022M08;8.848.665
Dato base;Total;2022M07;9.091.390
Dato base;Total;2022M06;7.498.156
Dato base;Total;2022M05;6.988.353
Dato base;Total;2022M04;6.106.316
Dato base;Total;2022M03;4.039.532
Dato base;Total;2022M02;3.179.288
Dato base;Total;2022M01;2.501.443
Dato base;Total;2021M12;2.947.525
Dato base;Total;2021M11;3.361.913
Dato base;Total;2021M10;5.148.820
Dato base;Total;2021M09;4.703.933
Dato base;Total;2021M08;5.196.520
Dato base;Total;2021M07;4.398.992
Dato base;Total;2021M06;2.216.356
Dato base;Total;2021M05;1.363.164
Dato base;Total;2021M04;629.206
Dato base;Total;2021M03;491.427
Dato base;Total;2021M02;284.974
Dato base;Total;2021M01;437.973
Dato base;Total;2020M12;648.989
Dato base;Total;2020M11;456.814
Dato base;Total;2020M10;1.020.773
Dato base;Total;2020M09;1.138.868
Dato base;01 Andalucía;2025M06;1.425.522
Dato base;01 Andalucía;2025M05;1.451.974
Dato base;01 Andalucía;2025M04;1.388.579
Dato base;01 Andalucía;2025M03;1.055.017
Dato base;01 Andalucía;2025M02;775.687
Dato base;01 Andalucía;2025M01;692.719
Dato base;01 Andalucía;2024M12;680.492
Dato base;01 Andalucía;2024M11;776.920
Dato base;01 Andalucía;2024M10;1.365.799
Dato base;01 Andalucía;2024M09;1.430.607
Dato base;01 Andalucía;2024M08;1.598.032
Dato base;01 Andalucía;2024M07;1.460.088
Dato base;01 Andalucía;2024M06;1.364.955
Dato base;01 Andalucía;2024M05;1.343.669
Dato base;01 Andalucía;2024M04;1.202.569
Dato base;01 Andalucía;2024M03;957.364
Dato base;01 Andalucía;2024M02;725.589
Dato base;01 Andalucía;2024M01;667.158
Dato base;01 Andalucía;2023M12;624.935
Dato base;01 Andalucía;2023M11;715.475
Dato base;01 Andalucía;2023M10;1.237.399
Dato base;01 Andalucía;2023M09;1.300.924
Dato base;01 Andalucía;2023M08;1.466.334
Dato base;01 Andalucía;2023M07;1.344.993
Dato base;01 Andalucía;2023M06;1.156.269
Dato base;01 Andalucía;2023M05;1.210.100
Dato base;01 Andalucía;2023M04;1.152.846
Dato base;01 Andalucía;2023M03;801.619
Dato base;01 Andalucía;2023M02;612.045
Dato base;01 Andalucía;2023M01;567.627
Dato base;01 Andalucía;2022M12;533.927
Dato base;01 Andalucía;2022M11;592.129
Dato base;01 Andalucía;2022M10;1.048.112
Dato base;01 Andalucía;2022M09;1.101.005
Dato base;01 Andalucía;2022M08;1.295.900
Dato base;01 Andalucía;2022M07;1.122.579
Dato base;01 Andalucía;2022M06;1.009.682
Dato base;01 Andalucía;2022M05;1.040.000
Dato base;01 Andalucía;2022M04;908.068
Dato base;01 Andalucía;2022M03;609.932
Dato base;01 Andalucía;2022M02;425.087
Dato base;01 Andalucía;2022M01;323.469
Dato base;01 Andalucía;2021M12;332.287
Dato base;01 Andalucía;2021M11;486.298
Dato base;01 Andalucía;2021M10;813.081
Dato base;01 Andalucía;2021M09;687.624
Dato base;01 Andalucía;2021M08;699.075
Dato base;01 Andalucía;2021M07;555.120
Dato base;01 Andalucía;2021M06;296.125
Dato base;01 Andalucía;2021M05;166.171
Dato base;01 Andalucía;2021M04;83.006
Dato base;01 Andalucía;2021M03;51.049
Dato base;01 Andalucía;2021M02;28.715
Dato base;01 Andalucía;2021M01;49.789
Dato base;01 Andalucía;2020M12;60.600
Dato base;01 Andalucía;2020M11;49.175
Dato base;01 Andalucía;2020M10;143.610
Dato base;01 Andalucía;2020M09;179.190
Dato base;04 Balears, Illes;2025M06;2.262.589
Dato base;04 Balears, Illes;2025M05;1.994.191
Dato base;04 Balears, Illes;2025M04;1.357.216
Dato base;04 Balears, Illes;2025M03;424.227
Dato base;04 Balears, Illes;2025M02;238.198
Dato base;04 Balears, Illes;2025M01;147.620
Dato base;04 Balears, Illes;2024M12;179.838
Dato base;04 Balears, Illes;2024M11;219.596
Dato base;04 Balears, Illes;2024M10;1.599.653
Dato base;04 Balears, Illes;2024M09;2.147.736
Dato base;04 Balears, Illes;2024M08;2.446.450
Dato base;04 Balears, Illes;2024M07;2.541.123
Dato base;04 Balears, Illes;2024M06;2.196.345
Dato base;04 Balears, Illes;2024M05;1.997.409
Dato base;04 Balears, Illes;2024M04;1.196.361
Dato base;04 Balears, Illes;2024M03;428.191
Dato base;04 Balears, Illes;2024M02;214.433
Dato base;04 Balears, Illes;2024M01;139.177
Dato base;04 Balears, Illes;2023M12;165.588
Dato base;04 Balears, Illes;2023M11;213.740
Dato base;04 Balears, Illes;2023M10;1.476.654
Dato base;04 Balears, Illes;2023M09;2.061.298
Dato base;04 Balears, Illes;2023M08;2.359.442
Dato base;04 Balears, Illes;2023M07;2.437.374
Dato base;04 Balears, Illes;2023M06;2.059.265
Dato base;04 Balears, Illes;2023M05;1.797.943
Dato base;04 Balears, Illes;2023M04;1.182.890
Dato base;04 Balears, Illes;2023M03;360.815
Dato base;04 Balears, Illes;2023M02;181.701
Dato base;04 Balears, Illes;2023M01;127.802
Dato base;04 Balears, Illes;2022M12;130.814
Dato base;04 Balears, Illes;2022M11;165.387
Dato base;04 Balears, Illes;2022M10;1.352.418
Dato base;04 Balears, Illes;2022M09;1.897.022
Dato base;04 Balears, Illes;2022M08;2.185.677
Dato base;04 Balears, Illes;2022M07;2.273.277
Dato base;04 Balears, Illes;2022M06;1.958.641
Dato base;04 Balears, Illes;2022M05;1.630.611
Dato base;04 Balears, Illes;2022M04;1.070.244
Dato base;04 Balears, Illes;2022M03;306.983
Dato base;04 Balears, Illes;2022M02;149.643
Dato base;04 Balears, Illes;2022M01;83.167
Dato base;04 Balears, Illes;2021M12;114.613
Dato base;04 Balears, Illes;2021M11;148.414
Dato base;04 Balears, Illes;2021M10;1.010.761
Dato base;04 Balears, Illes;2021M09;1.167.722
Dato base;04 Balears, Illes;2021M08;1.307.442
Dato base;04 Balears, Illes;2021M07;1.320.144
Dato base;04 Balears, Illes;2021M06;656.091
Dato base;04 Balears, Illes;2021M05;380.859
Dato base;04 Balears, Illes;2021M04;124.634
Dato base;04 Balears, Illes;2021M03;65.660
Dato base;04 Balears, Illes;2021M02;13.190
Dato base;04 Balears, Illes;2021M01;15.182
Dato base;04 Balears, Illes;2020M12;22.099
Dato base;04 Balears, Illes;2020M11;20.103
Dato base;04 Balears, Illes;2020M10;84.194
Dato base;04 Balears, Illes;2020M09;119.145
Dato base;05 Canarias;2025M06;1.078.407
Dato base;05 Canarias;2025M05;1.076.379
Dato base;05 Canarias;2025M04;1.323.722
Dato base;05 Canarias;2025M03;1.556.532
Dato base;05 Canarias;2025M02;1.444.472
Dato base;05 Canarias;2025M01;1.360.592
Dato base;05 Canarias;2024M12;1.448.495
Dato base;05 Canarias;2024M11;1.448.423
Dato base;05 Canarias;2024M10;1.359.785
Dato base;05 Canarias;2024M09;1.105.772
Dato base;05 Canarias;2024M08;1.165.537
Dato base;05 Canarias;2024M07;1.161.204
Dato base;05 Canarias;2024M06;1.045.475
Dato base;05 Canarias;2024M05;1.037.648
Dato base;05 Canarias;2024M04;1.183.297
Dato base;05 Canarias;2024M03;1.543.223
Dato base;05 Canarias;2024M02;1.407.939
Dato base;05 Canarias;2024M01;1.321.043
Dato base;05 Canarias;2023M12;1.374.111
Dato base;05 Canarias;2023M11;1.332.768
Dato base;05 Canarias;2023M10;1.269.415
Dato base;05 Canarias;2023M09;1.026.257
Dato base;05 Canarias;2023M08;1.062.818
Dato base;05 Canarias;2023M07;1.070.553
Dato base;05 Canarias;2023M06;947.828
Dato base;05 Canarias;2023M05;969.285
Dato base;05 Canarias;2023M04;1.160.224
Dato base;05 Canarias;2023M03;1.297.460
Dato base;05 Canarias;2023M02;1.230.683
Dato base;05 Canarias;2023M01;1.209.285
Dato base;05 Canarias;2022M12;1.219.648
Dato base;05 Canarias;2022M11;1.185.300
Dato base;05 Canarias;2022M10;1.184.526
Dato base;05 Canarias;2022M09;928.846
Dato base;05 Canarias;2022M08;1.035.403
Dato base;05 Canarias;2022M07;1.028.968
Dato base;05 Canarias;2022M06;900.683
Dato base;05 Canarias;2022M05;883.555
Dato base;05 Canarias;2022M04;1.110.116
Dato base;05 Canarias;2022M03;1.123.309
Dato base;05 Canarias;2022M02;967.892
Dato base;05 Canarias;2022M01;759.766
Dato base;05 Canarias;2021M12;902.963
Dato base;05 Canarias;2021M11;1.013.292
Dato base;05 Canarias;2021M10;994.249
Dato base;05 Canarias;2021M09;611.246
Dato base;05 Canarias;2021M08;569.209
Dato base;05 Canarias;2021M07;414.241
Dato base;05 Canarias;2021M06;221.337
Dato base;05 Canarias;2021M05;161.380
Dato base;05 Canarias;2021M04;109.429
Dato base;05 Canarias;2021M03;100.525
Dato base;05 Canarias;2021M02;74.280
Dato base;05 Canarias;2021M01;86.579
Dato base;05 Canarias;2020M12;207.064
Dato base;05 Canarias;2020M11;160.665
Dato base;05 Canarias;2020M10;136.911
Dato base;05 Canarias;2020M09;92.548
Dato base;09 Cataluña;2025M06;1.998.700
Dato base;09 Cataluña;2025M05;1.929.494
Dato base;09 Cataluña;2025M04;1.739.724
Dato base;09 Cataluña;2025M03;1.370.270
Dato base;09 Cataluña;2025M02;1.136.575
Dato base;09 Cataluña;2025M01;1.076.814
Dato base;09 Cataluña;2024M12;1.068.838
Dato base;09 Cataluña;2024M11;1.262.483
Dato base;09 Cataluña;2024M10;1.801.752
Dato base;09 Cataluña;2024M09;2.047.809
Dato base;09 Cataluña;2024M08;2.286.485
Dato base;09 Cataluña;2024M07;2.379.950
Dato base;09 Cataluña;2024M06;1.996.785
Dato base;09 Cataluña;2024M05;2.042.935
Dato base;09 Cataluña;2024M04;1.684.885
Dato base;09 Cataluña;2024M03;1.356.213
Dato base;09 Cataluña;2024M02;1.054.228
Dato base;09 Cataluña;2024M01;957.854
Dato base;09 Cataluña;2023M12;1.020.095
Dato base;09 Cataluña;2023M11;1.145.608
Dato base;09 Cataluña;2023M10;1.669.786
Dato base;09 Cataluña;2023M09;1.818.670
Dato base;09 Cataluña;2023M08;2.154.210
Dato base;09 Cataluña;2023M07;2.309.021
Dato base;09 Cataluña;2023M06;1.819.708
Dato base;09 Cataluña;2023M05;1.924.278
Dato base;09 Cataluña;2023M04;1.541.270
Dato base;09 Cataluña;2023M03;1.052.638
Dato base;09 Cataluña;2023M02;930.178
Dato base;09 Cataluña;2023M01;797.150
Dato base;09 Cataluña;2022M12;814.112
Dato base;09 Cataluña;2022M11;957.123
Dato base;09 Cataluña;2022M10;1.484.838
Dato base;09 Cataluña;2022M09;1.642.389
Dato base;09 Cataluña;2022M08;1.901.752
Dato base;09 Cataluña;2022M07;1.995.729
Dato base;09 Cataluña;2022M06;1.631.067
Dato base;09 Cataluña;2022M05;1.474.935
Dato base;09 Cataluña;2022M04;1.156.887
Dato base;09 Cataluña;2022M03;708.963
Dato base;09 Cataluña;2022M02;619.075
Dato base;09 Cataluña;2022M01;465.172
Dato base;09 Cataluña;2021M12;558.338
Dato base;09 Cataluña;2021M11;616.059
Dato base;09 Cataluña;2021M10;868.763
Dato base;09 Cataluña;2021M09;877.825
Dato base;09 Cataluña;2021M08;1.076.756
Dato base;09 Cataluña;2021M07;815.654
Dato base;09 Cataluña;2021M06;404.336
Dato base;09 Cataluña;2021M05;251.155
Dato base;09 Cataluña;2021M04;93.535
Dato base;09 Cataluña;2021M03;85.627
Dato base;09 Cataluña;2021M02;54.348
Dato base;09 Cataluña;2021M01;85.440
Dato base;09 Cataluña;2020M12;97.489
Dato base;09 Cataluña;2020M11;58.838
Dato base;09 Cataluña;2020M10;231.004
Dato base;09 Cataluña;2020M09;275.206
Dato base;10 Comunitat Valenciana;2025M06;1.154.844
Dato base;10 Comunitat Valenciana;2025M05;1.197.429
Dato base;10 Comunitat Valenciana;2025M04;1.116.176
Dato base;10 Comunitat Valenciana;2025M03;857.060
Dato base;10 Comunitat Valenciana;2025M02;670.770
Dato base;10 Comunitat Valenciana;2025M01;600.146
Dato base;10 Comunitat Valenciana;2024M12;666.938
Dato base;10 Comunitat Valenciana;2024M11;680.112
Dato base;10 Comunitat Valenciana;2024M10;1.134.131
Dato base;10 Comunitat Valenciana;2024M09;1.194.994
Dato base;10 Comunitat Valenciana;2024M08;1.469.110
Dato base;10 Comunitat Valenciana;2024M07;1.474.120
Dato base;10 Comunitat Valenciana;2024M06;1.117.852
Dato base;10 Comunitat Valenciana;2024M05;1.150.006
Dato base;10 Comunitat Valenciana;2024M04;1.003.867
Dato base;10 Comunitat Valenciana;2024M03;824.971
Dato base;10 Comunitat Valenciana;2024M02;582.504
Dato base;10 Comunitat Valenciana;2024M01;616.365
Dato base;10 Comunitat Valenciana;2023M12;712.546
Dato base;10 Comunitat Valenciana;2023M11;653.407
Dato base;10 Comunitat Valenciana;2023M10;1.033.167
Dato base;10 Comunitat Valenciana;2023M09;1.042.340
Dato base;10 Comunitat Valenciana;2023M08;1.272.665
Dato base;10 Comunitat Valenciana;2023M07;1.332.110
Dato base;10 Comunitat Valenciana;2023M06;937.202
Dato base;10 Comunitat Valenciana;2023M05;1.001.303
Dato base;10 Comunitat Valenciana;2023M04;866.776
Dato base;10 Comunitat Valenciana;2023M03;660.566
Dato base;10 Comunitat Valenciana;2023M02;481.913
Dato base;10 Comunitat Valenciana;2023M01;480.171
Dato base;10 Comunitat Valenciana;2022M12;513.864
Dato base;10 Comunitat Valenciana;2022M11;519.058
Dato base;10 Comunitat Valenciana;2022M10;865.642
Dato base;10 Comunitat Valenciana;2022M09;937.745
Dato base;10 Comunitat Valenciana;2022M08;1.057.976
Dato base;10 Comunitat Valenciana;2022M07;1.126.932
Dato base;10 Comunitat Valenciana;2022M06;850.991
Dato base;10 Comunitat Valenciana;2022M05;793.403
Dato base;10 Comunitat Valenciana;2022M04;785.176
Dato base;10 Comunitat Valenciana;2022M03;491.399
Dato base;10 Comunitat Valenciana;2022M02;393.393
Dato base;10 Comunitat Valenciana;2022M01;280.868
Dato base;10 Comunitat Valenciana;2021M12;381.422
Dato base;10 Comunitat Valenciana;2021M11;384.253
Dato base;10 Comunitat Valenciana;2021M10;641.582
Dato base;10 Comunitat Valenciana;2021M09;641.919
Dato base;10 Comunitat Valenciana;2021M08;754.050
Dato base;10 Comunitat Valenciana;2021M07;607.165
Dato base;10 Comunitat Valenciana;2021M06;271.231
Dato base;10 Comunitat Valenciana;2021M05;141.587
Dato base;10 Comunitat Valenciana;2021M04;71.493
Dato base;10 Comunitat Valenciana;2021M03;46.945
Dato base;10 Comunitat Valenciana;2021M02;28.152
Dato base;10 Comunitat Valenciana;2021M01;49.970
Dato base;10 Comunitat Valenciana;2020M12;71.873
Dato base;10 Comunitat Valenciana;2020M11;53.870
Dato base;10 Comunitat Valenciana;2020M10;177.332
Dato base;10 Comunitat Valenciana;2020M09;185.154
Dato base;13 Madrid, Comunidad de;2025M06;777.453
Dato base;13 Madrid, Comunidad de;2025M05;880.963
Dato base;13 Madrid, Comunidad de;2025M04;838.038
Dato base;13 Madrid, Comunidad de;2025M03;721.110
Dato base;13 Madrid, Comunidad de;2025M02;643.607
Dato base;13 Madrid, Comunidad de;2025M01;704.362
Dato base;13 Madrid, Comunidad de;2024M12;601.530
Dato base;13 Madrid, Comunidad de;2024M11;718.290
Dato base;13 Madrid, Comunidad de;2024M10;863.874
Dato base;13 Madrid, Comunidad de;2024M09;817.484
Dato base;13 Madrid, Comunidad de;2024M08;638.979
Dato base;13 Madrid, Comunidad de;2024M07;742.294
Dato base;13 Madrid, Comunidad de;2024M06;843.657
Dato base;13 Madrid, Comunidad de;2024M05;879.339
Dato base;13 Madrid, Comunidad de;2024M04;813.678
Dato base;13 Madrid, Comunidad de;2024M03;712.222
Dato base;13 Madrid, Comunidad de;2024M02;584.792
Dato base;13 Madrid, Comunidad de;2024M01;608.661
Dato base;13 Madrid, Comunidad de;2023M12;605.809
Dato base;13 Madrid, Comunidad de;2023M11;673.552
Dato base;13 Madrid, Comunidad de;2023M10;822.942
Dato base;13 Madrid, Comunidad de;2023M09;769.335
Dato base;13 Madrid, Comunidad de;2023M08;625.174
Dato base;13 Madrid, Comunidad de;2023M07;664.448
Dato base;13 Madrid, Comunidad de;2023M06;745.111
Dato base;13 Madrid, Comunidad de;2023M05;706.226
Dato base;13 Madrid, Comunidad de;2023M04;666.477
Dato base;13 Madrid, Comunidad de;2023M03;594.544
Dato base;13 Madrid, Comunidad de;2023M02;453.650
Dato base;13 Madrid, Comunidad de;2023M01;518.799
Dato base;13 Madrid, Comunidad de;2022M12;440.604
Dato base;13 Madrid, Comunidad de;2022M11;540.723
Dato base;13 Madrid, Comunidad de;2022M10;688.660
Dato base;13 Madrid, Comunidad de;2022M09;602.463
Dato base;13 Madrid, Comunidad de;2022M08;447.380
Dato base;13 Madrid, Comunidad de;2022M07;626.638
Dato base;13 Madrid, Comunidad de;2022M06;605.892
Dato base;13 Madrid, Comunidad de;2022M05;571.014
Dato base;13 Madrid, Comunidad de;2022M04;546.380
Dato base;13 Madrid, Comunidad de;2022M03;447.532
Dato base;13 Madrid, Comunidad de;2022M02;282.914
Dato base;13 Madrid, Comunidad de;2022M01;247.982
Dato base;13 Madrid, Comunidad de;2021M12;292.788
Dato base;13 Madrid, Comunidad de;2021M11;375.608
Dato base;13 Madrid, Comunidad de;2021M10;362.704
Dato base;13 Madrid, Comunidad de;2021M09;258.228
Dato base;13 Madrid, Comunidad de;2021M08;231.016
Dato base;13 Madrid, Comunidad de;2021M07;219.112
Dato base;13 Madrid, Comunidad de;2021M06;139.091
Dato base;13 Madrid, Comunidad de;2021M05;86.696
Dato base;13 Madrid, Comunidad de;2021M04;65.324
Dato base;13 Madrid, Comunidad de;2021M03;69.319
Dato base;13 Madrid, Comunidad de;2021M02;31.596
Dato base;13 Madrid, Comunidad de;2021M01;45.585
Dato base;13 Madrid, Comunidad de;2020M12;47.914
Dato base;13 Madrid, Comunidad de;2020M11;45.352
Dato base;13 Madrid, Comunidad de;2020M10;39.638
Dato base;13 Madrid, Comunidad de;2020M09;48.085
Dato base;Otras Comunidades Autónomas;2025M06;778.733
Dato base;Otras Comunidades Autónomas;2025M05;865.181
Dato base;Otras Comunidades Autónomas;2025M04;804.687
Dato base;Otras Comunidades Autónomas;2025M03;609.387
Dato base;Otras Comunidades Autónomas;2025M02;487.969
Dato base;Otras Comunidades Autónomas;2025M01;482.841
Dato base;Otras Comunidades Autónomas;2024M12;618.244
Dato base;Otras Comunidades Autónomas;2024M11;564.394
Dato base;Otras Comunidades Autónomas;2024M10;836.938
Dato base;Otras Comunidades Autónomas;2024M09;857.614
Dato base;Otras Comunidades Autónomas;2024M08;1.324.991
Dato base;Otras Comunidades Autónomas;2024M07;1.093.568
Dato base;Otras Comunidades Autónomas;2024M06;734.505
Dato base;Otras Comunidades Autónomas;2024M05;804.979
Dato base;Otras Comunidades Autónomas;2024M04;699.093
Dato base;Otras Comunidades Autónomas;2024M03;528.286
Dato base;Otras Comunidades Autónomas;2024M02;444.012
Dato base;Otras Comunidades Autónomas;2024M01;465.290
Dato base;Otras Comunidades Autónomas;2023M12;706.000
Dato base;Otras Comunidades Autónomas;2023M11;400.949
Dato base;Otras Comunidades Autónomas;2023M10;677.660
Dato base;Otras Comunidades Autónomas;2023M09;776.602
Dato base;Otras Comunidades Autónomas;2023M08;1.245.521
Dato base;Otras Comunidades Autónomas;2023M07;958.417
Dato base;Otras Comunidades Autónomas;2023M06;642.077
Dato base;Otras Comunidades Autónomas;2023M05;691.250
Dato base;Otras Comunidades Autónomas;2023M04;657.610
Dato base;Otras Comunidades Autónomas;2023M03;479.699
Dato base;Otras Comunidades Autónomas;2023M02;430.494
Dato base;Otras Comunidades Autónomas;2023M01;434.160
Dato base;Otras Comunidades Autónomas;2022M12;474.324
Dato base;Otras Comunidades Autónomas;2022M11;374.930
Dato base;Otras Comunidades Autónomas;2022M10;552.788
Dato base;Otras Comunidades Autónomas;2022M09;657.741
Dato base;Otras Comunidades Autónomas;2022M08;924.577
Dato base;Otras Comunidades Autónomas;2022M07;917.266
Dato base;Otras Comunidades Autónomas;2022M06;541.200
Dato base;Otras Comunidades Autónomas;2022M05;594.835
Dato base;Otras Comunidades Autónomas;2022M04;529.446
Dato base;Otras Comunidades Autónomas;2022M03;351.414
Dato base;Otras Comunidades Autónomas;2022M02;341.284
Dato base;Otras Comunidades Autónomas;2022M01;341.019
Dato base;Otras Comunidades Autónomas;2021M12;365.114
Dato base;Otras Comunidades Autónomas;2021M11;337.991
Dato base;Otras Comunidades Autónomas;2021M10;457.681
Dato base;Otras Comunidades Autónomas;2021M09;459.367
Dato base;Otras Comunidades Autónomas;2021M08;558.972
Dato base;Otras Comunidades Autónomas;2021M07;467.556
Dato base;Otras Comunidades Autónomas;2021M06;228.145
Dato base;Otras Comunidades Autónomas;2021M05;175.317
Dato base;Otras Comunidades Autónomas;2021M04;81.785
Dato base;Otras Comunidades Autónomas;2021M03;72.301
Dato base;Otras Comunidades Autónomas;2021M02;54.694
Dato base;Otras Comunidades Autónomas;2021M01;105.428
Dato base;Otras Comunidades Autónomas;2020M12;141.951
Dato base;Otras Comunidades Autónomas;2020M11;68.811
Dato base;Otras Comunidades Autónomas;2020M10;208.085
Dato base;Otras Comunidades Autónomas;2020M09;239.540
